,File,Abnormal,Result,R-R Interval,R Height,R_Onset-Rpeak,Q-Q Interval,Q Height,P_Onset-P_Offset,P Height,P-P Interval,P_Onset-Ppeak
62093,215,0,N,191,1152,20,202,960,27,988,195,17
59455,214,1,V,180,1259,24,201,964,43,1009,203,31
82482,234,0,N,244,1315,21,244,979,41,1046,242,22
4158,102,1,Q,296,1123,23,300,942,23,954,288,7
62384,215,0,N,193,1176,18,175,972,38,1002,187,17
58191,213,0,N,199,1455,18,203,904,28,988,202,15
54428,212,1,N,226,1284,47,228,972,32,1046,225,16
23463,114,0,N,326,981,7,322,962,27,984,318,16
78130,232,1,N,1476,1183,18,1476,997,28,1023,1477,15
36515,122,0,N,270,1183,24,269,799,38,878,272,17
24334,115,0,N,310,1354,19,310,892,49,937,305,19
41892,201,0,N,411,1195,60,407,978,44,1008,412,21
29459,118,1,N,287,1130,30,286,861,41,927,290,17
48251,208,1,F,204,1280,39,193,937,24,964,208,14
18929,111,1,N,324,1201,14,282,1003,61,1025,324,34
11214,105,0,N,239,1246,25,239,948,33,1019,239,19
62585,215,0,N,176,1159,21,197,979,37,1000,178,18
12552,106,1,V,167,1402,70,148,960,71,1066,130,41
56814,213,0,N,190,1465,19,190,913,26,993,192,13
60962,215,0,N,179,1187,25,200,954,30,981,185,14
160,100,0,N,278,1168,19,277,889,70,961,279,19
23756,114,0,N,322,929,10,326,1037,29,1067,327,19
25752,115,0,N,342,1362,21,338,907,43,938,344,28
17416,109,1,N,281,1322,27,285,962,21,1009,285,4
27232,116,0,N,279,1458,24,268,761,42,811,277,21
11958,106,0,N,290,1302,37,290,937,33,991,289,17
23085,114,0,N,380,1024,6,379,972,32,995,382,21
68481,222,0,N,253,1145,61,263,1006,46,1041,259,16
55742,212,0,N,255,1315,48,253,943,34,1011,253,18
14748,108,0,N,345,854,14,340,933,28,1010,337,14
81978,234,0,N,241,1345,20,242,970,37,1029,244,17
57554,213,0,N,204,1485,21,206,982,30,1066,204,16
3286,101,0,N,306,1321,19,306,925,36,974,307,10
52192,209,0,N,236,1247,17,254,956,31,987,241,18
49682,209,0,N,214,1124,9,182,849,38,986,188,6
4899,102,1,Q,290,1193,21,278,940,48,958,245,4
14807,108,0,N,383,947,13,387,1020,34,1053,386,17
37596,123,0,N,483,1235,26,481,831,48,893,484,22
25952,115,0,N,373,1373,25,373,907,20,936,380,2
18726,111,1,N,298,1251,12,263,1025,41,1041,298,15
8623,104,1,Q,287,1059,32,295,968,10,969,319,2
32251,119,0,N,311,1284,19,312,822,34,908,312,18
73668,230,0,N,316,1304,27,310,983,38,1014,319,21
52592,210,0,N,262,1181,25,262,957,26,980,269,11
15631,109,1,N,254,1244,28,248,951,34,997,261,17
78688,232,1,S,278,1150,19,271,986,23,1002,275,17
52479,210,0,N,225,1205,29,250,971,32,988,207,17
59687,214,1,V,170,1322,36,118,869,35,979,203,25
37722,123,0,N,395,1263,29,396,805,41,858,393,20
42307,201,0,N,181,1166,20,173,977,25,992,244,9
31562,119,0,N,328,1278,17,321,830,34,910,330,21
33316,119,1,V,212,1410,37,167,890,61,1012,161,38
5436,102,1,Q,299,1159,27,279,955,17,969,296,6
69681,223,0,N,250,1317,28,247,926,35,961,247,17
33559,119,0,N,313,1288,22,310,817,34,891,313,20
35852,122,0,N,287,1207,25,286,801,46,889,284,21
43663,203,0,N,166,1220,21,191,948,13,1027,173,7
54098,212,1,N,222,1220,15,215,951,36,1016,222,18
47757,208,0,N,212,1301,47,204,975,29,1016,210,15
58664,213,0,N,203,1404,18,204,842,28,932,204,14
17955,111,1,N,54,1006,18,55,894,14,974,69,8
12349,106,0,N,302,1203,35,302,991,32,1010,301,19
14923,108,0,N,338,863,12,331,962,39,1025,339,24
70275,223,0,N,323,1258,23,321,914,33,951,324,15
6885,103,0,N,326,1386,19,325,920,30,981,322,18
17180,109,1,N,278,1308,29,270,954,21,1001,282,4
12645,106,0,N,408,1333,33,443,992,32,1040,455,16
18398,111,1,N,298,1187,12,306,981,47,1010,300,21
5798,103,0,N,303,1370,20,303,906,31,961,298,20
12824,106,0,N,361,1395,40,354,973,31,1047,358,13
15639,109,1,N,257,1309,28,264,961,50,1012,253,19
69027,223,0,N,304,1283,49,317,919,31,955,343,15
55058,212,1,N,249,1253,48,247,928,36,995,249,20
65542,220,0,N,320,1324,32,319,889,31,916,319,13
60749,215,0,N,195,1217,31,195,998,24,1023,196,8
63889,219,0,N,263,1280,23,251,859,34,895,263,27
75715,231,0,N,339,1347,17,359,943,37,1007,393,19
27409,116,0,N,280,1391,22,289,743,27,805,278,7
2707,101,0,N,359,1249,18,360,911,48,966,364,22
74376,230,0,N,303,1212,24,302,956,37,997,305,15
42211,201,0,N,253,1175,33,181,969,24,985,289,14
74583,230,0,N,297,1290,23,286,944,42,999,294,17
4097,101,0,N,329,1293,18,330,932,39,978,330,11
26696,116,0,N,267,1416,43,266,782,28,848,264,9
10795,105,0,N,228,1269,51,208,784,44,929,221,22
19151,111,1,N,297,1045,17,298,912,45,973,300,18
48238,208,1,F,213,1441,47,213,968,34,999,212,17
19060,111,1,N,336,1206,14,298,966,38,1004,338,21
55166,212,1,N,241,1287,49,237,970,34,1044,237,19
23797,114,0,N,331,959,11,330,953,28,1021,328,16
49765,209,0,N,209,1275,18,209,988,38,1062,203,5
46780,205,0,N,262,1184,16,263,950,37,969,259,14
69183,223,0,N,244,1120,24,240,938,38,965,244,15
55090,212,1,N,239,1259,46,240,948,35,1012,241,17
82490,234,0,N,247,1331,23,246,1011,38,1068,246,20
61574,215,0,N,201,1194,30,220,971,30,1006,200,10
75709,231,0,N,365,1324,18,373,926,37,994,397,19
28214,116,0,N,264,1113,18,262,781,33,831,261,10
61225,215,0,N,202,1214,18,189,970,29,1002,206,17
37430,122,0,N,279,1212,24,278,816,42,908,277,19
14157,108,0,N,420,1119,41,387,974,42,1027,418,27
72361,228,1,V,252,1478,33,231,946,14,1050,252,6
49981,209,0,N,228,1200,18,229,962,49,1002,228,15
23614,114,0,N,339,998,6,334,954,29,986,339,20
255,100,0,N,287,1183,18,287,913,32,977,285,25
32777,119,0,N,314,1236,18,292,814,27,849,309,11
4451,102,1,Q,308,1194,67,342,961,47,988,292,11
45120,205,0,N,226,1162,19,226,937,39,963,228,19
35223,122,0,N,258,1182,25,257,806,38,878,261,17
58452,213,0,N,203,1504,20,204,996,27,1082,204,14
10550,105,0,N,237,1270,20,233,953,45,1011,189,15
38459,123,0,N,339,1284,31,335,846,44,911,339,19
22351,114,0,N,412,918,11,434,914,28,990,408,17
38958,123,0,N,453,1243,65,445,836,46,889,453,20
71985,228,1,V,217,1492,36,204,954,38,1045,211,9
69972,223,0,N,245,1313,30,244,912,47,954,247,29
25271,115,0,N,313,1314,21,312,879,49,915,313,19
58927,213,0,N,202,1489,20,184,946,28,1021,200,15
70511,223,1,V,235,1416,32,299,927,13,934,238,4
69538,223,0,N,253,1298,49,254,865,49,907,255,30
452,100,0,N,253,1199,19,253,912,22,975,243,19
46516,205,0,N,254,1200,22,254,939,37,967,252,17
21882,112,0,N,270,1010,25,263,853,44,887,270,20
33647,121,0,N,350,1039,23,349,843,24,855,361,9
79417,233,0,N,217,1351,42,217,966,37,1037,216,18
4135,102,1,Q,319,1129,22,301,943,16,952,337,3
58825,213,0,N,206,1441,19,206,883,26,967,208,13
2257,100,0,N,258,1255,20,257,914,17,968,271,4
56937,213,0,N,198,1394,19,187,865,28,937,196,14
68729,223,1,F,261,1394,50,262,932,42,968,268,23
13130,106,0,N,391,1324,37,389,952,30,998,395,14
57018,213,0,N,193,1469,17,183,956,27,1030,195,14
16423,109,1,N,251,1284,26,253,950,33,998,244,12
51246,209,0,N,227,1152,16,209,902,46,931,214,12
74774,230,0,N,285,1437,51,285,960,39,998,287,18
4953,102,1,Q,306,1128,26,330,945,36,967,251,17
45264,205,0,N,229,1150,18,228,938,44,965,225,20
4200,102,0,N,278,1109,21,278,982,12,987,232,4
65468,220,0,N,323,1248,33,321,887,32,911,319,15
43647,203,0,N,234,1118,18,235,882,51,959,219,24
29737,118,1,N,264,1161,21,264,841,19,915,266,12
28454,116,0,N,269,1083,18,266,794,47,847,268,22
3552,101,0,N,336,1302,19,336,966,46,1009,336,19
33956,121,0,N,360,1035,23,360,858,13,872,358,6
77301,232,1,S,257,1105,19,220,991,15,1000,243,7
55790,212,0,N,261,1320,47,262,928,33,987,263,18
66132,221,0,N,233,1276,24,292,959,47,976,219,22
21457,112,0,N,266,1004,17,264,837,48,877,264,22
27631,116,0,N,268,1418,19,267,745,44,794,270,26
51815,209,0,N,228,1234,16,228,973,35,1017,233,24
40197,200,0,N,248,1234,23,234,982,37,993,247,26
16024,109,1,N,250,1334,26,254,958,41,1008,252,23
41624,201,0,N,419,1206,33,426,976,43,1008,417,23
14373,108,0,N,455,1164,30,463,985,36,1035,459,22
34378,121,0,N,357,997,43,360,845,25,862,361,21
33288,119,1,V,196,1397,25,177,831,62,967,155,38
21394,112,0,N,257,1026,21,253,864,48,896,258,27
18874,111,1,N,301,1174,13,307,970,44,996,307,19
8188,104,1,Q,302,1019,38,313,939,21,947,324,5
56440,213,1,F,199,1501,22,216,994,29,1078,199,15
63714,219,0,N,295,1361,21,277,886,25,913,325,7
51199,209,0,N,233,1213,17,233,985,31,1020,230,15
63058,215,0,N,205,1195,19,233,970,29,997,203,16
14224,108,0,N,375,1126,38,366,981,37,1029,380,22
55219,212,1,N,241,1296,47,239,976,34,1048,240,19
50869,209,0,N,211,1142,15,227,964,16,987,214,7
77662,232,1,S,266,1132,23,300,973,18,984,267,12
16918,109,1,N,262,1319,27,261,955,21,1000,258,5
45511,205,0,N,238,1247,18,239,925,39,952,238,19
55087,212,1,N,241,1278,50,243,958,35,1009,243,20
12360,106,0,N,240,1259,38,282,987,40,1036,309,23
72653,228,0,N,431,1194,26,442,994,34,1051,443,14
37026,122,0,N,257,1181,23,256,794,40,884,256,18
22488,114,0,N,385,869,11,384,949,29,972,390,20
28304,116,0,N,261,1086,42,263,794,42,840,263,22
65753,220,0,N,312,1318,33,313,900,34,930,313,16
71368,228,1,V,243,1453,38,236,996,16,1025,313,5
49623,209,0,N,225,1239,18,225,969,21,996,218,13
25059,115,0,N,323,1293,33,323,825,42,857,325,28
16212,109,1,N,269,1303,28,257,956,23,1004,271,5
68167,222,0,N,316,1142,14,312,963,28,998,319,10
40159,200,0,N,241,1207,20,230,950,13,982,240,7
39422,124,1,N,428,1367,19,426,911,21,941,423,7
73849,230,0,N,290,1226,20,291,947,36,982,293,14
62472,215,0,N,201,1180,16,196,974,33,1003,198,13
44317,203,0,N,131,1149,12,133,956,58,975,164,37
42557,202,1,S,178,1249,29,158,944,45,1097,167,20
75902,231,1,N,330,1289,17,330,930,35,990,331,19
29416,118,1,N,288,1103,25,286,866,23,933,286,17
33879,121,0,N,345,1117,40,349,905,22,922,352,7
59964,215,0,N,196,1175,20,194,986,29,1005,195,19
8844,104,1,Q,301,1045,47,305,947,23,955,310,7
68444,222,0,N,169,1186,13,170,997,39,1004,181,14
37380,122,0,N,251,1171,22,253,764,36,867,251,16
17420,109,1,N,261,1323,26,260,959,22,997,257,6
43418,203,0,N,264,1259,16,220,999,20,1028,261,7
41629,201,0,N,491,1187,61,533,988,42,1014,538,21
22490,114,0,N,385,870,10,379,950,33,971,389,21
4069,101,0,N,351,1299,18,350,968,35,1006,351,12
66728,222,0,N,278,1089,42,278,996,34,1034,278,16
35252,122,0,N,249,1191,23,250,822,39,901,253,14
35283,122,0,N,266,1167,24,264,800,38,877,263,16
1232,100,0,N,288,1219,18,287,919,25,978,284,19
21634,112,0,N,253,1029,52,253,869,37,902,251,18
6112,103,0,N,323,1393,19,324,915,46,976,328,19
24121,114,0,N,307,1075,6,287,1010,33,1025,367,23
33541,119,0,N,339,1224,17,346,801,34,888,342,18
25683,115,0,N,307,1382,19,299,909,43,947,304,25
56240,213,0,N,194,1456,19,191,929,26,1001,194,14
64566,220,0,N,297,1285,28,300,889,33,922,300,14
8648,104,1,Q,306,1131,17,309,962,15,965,351,3
58572,213,0,N,206,1472,20,193,941,28,1014,208,15
43310,203,0,N,178,1313,31,201,992,31,1026,158,6
12718,106,0,N,318,1392,38,321,951,30,1016,315,15
24696,115,0,N,350,1344,22,349,890,57,920,352,21
62350,215,0,N,185,1178,17,166,971,37,999,186,17
79692,233,0,N,216,1380,22,211,1003,44,1068,213,22
3288,101,0,N,322,1317,18,323,929,44,977,322,21
37250,122,0,N,274,1218,23,275,806,38,893,276,15
20953,112,0,N,239,1021,19,232,849,27,882,241,8
75856,231,1,N,329,1338,17,329,945,35,1017,323,17
58028,213,0,N,206,1502,20,206,971,27,1051,204,14
5349,102,1,Q,286,1171,23,262,950,14,961,238,6
58833,213,0,N,205,1468,19,205,899,27,973,208,14
60232,215,0,N,194,1088,24,201,893,12,962,168,7
13633,107,1,Q,314,1273,74,287,919,55,1032,269,18
62583,215,0,N,197,1182,18,191,974,25,1009,204,14
23337,114,0,N,350,965,8,373,975,30,984,351,18
45313,205,0,N,233,1188,17,233,958,38,987,232,17
388,100,0,N,281,1200,19,282,923,17,984,291,4
1517,100,0,N,282,1221,18,283,928,67,989,285,17
79856,233,0,N,203,1362,44,202,1036,38,1102,200,17
73810,230,0,N,310,1299,19,312,952,43,991,308,19
62055,215,0,N,192,1148,21,202,965,39,994,197,16
65133,220,0,N,340,1301,32,343,895,32,918,343,15
32927,119,0,N,487,1302,20,520,855,33,935,527,18
66691,222,0,N,292,1124,14,290,967,34,1025,291,15
6237,103,0,N,312,1349,19,312,927,48,982,310,19
21013,112,0,N,248,856,13,260,684,31,733,247,8
21529,112,0,N,259,1008,52,264,862,40,902,258,19
21596,112,0,N,261,993,16,265,852,43,888,260,22
79148,233,0,N,221,1379,43,223,997,39,1064,219,20
48755,208,0,N,201,1203,17,212,857,38,910,195,17
79216,233,0,N,216,1287,43,216,955,46,1020,213,20
64523,220,0,N,303,1262,37,305,903,31,926,300,11
19062,111,1,N,322,1156,13,317,948,34,983,324,20
56307,213,0,N,193,1425,20,191,902,27,984,193,13
57080,213,0,N,202,1448,19,220,923,29,1006,200,17
21410,112,0,N,259,990,19,262,826,29,855,262,11
50889,209,0,N,228,1217,18,214,993,19,1028,254,8
54077,212,1,N,226,1239,25,225,960,35,1037,230,18
29328,118,1,N,294,1056,23,297,791,25,874,294,19
9624,105,0,N,257,1256,20,254,954,36,1008,255,22
11882,106,0,N,316,1333,36,313,972,30,1014,316,15
18292,111,1,N,320,1235,14,318,980,49,1013,321,21
31698,119,0,N,465,1253,47,497,810,34,890,502,19
53875,212,1,N,221,1213,18,225,933,28,996,222,13
21817,112,0,N,259,991,18,264,843,41,884,262,21
50969,209,0,N,237,1256,22,249,954,24,986,214,14
24782,115,0,N,329,1300,27,325,849,37,885,322,17
56617,213,0,N,202,1456,29,202,949,28,1035,200,15
72197,228,0,N,320,1093,26,321,859,36,920,323,12
26114,115,0,N,311,1284,17,303,835,38,881,312,18
37806,123,0,N,355,1260,37,349,836,43,888,354,20
49538,209,0,N,216,1235,15,210,958,39,970,222,19
803,100,0,N,278,1194,20,277,916,26,986,268,22
42338,201,0,N,243,1212,28,229,974,42,996,227,12
29521,118,1,N,300,1113,31,308,850,26,909,297,20
15110,108,0,N,349,857,12,335,969,38,1020,332,23
32985,119,0,N,441,1267,20,480,841,29,871,478,14
37498,122,0,N,266,1205,22,268,799,48,895,265,20
5746,103,0,N,301,1386,19,302,917,46,974,299,18
75466,231,1,N,321,1307,17,321,953,36,1014,317,19
8770,104,1,Q,291,1220,31,324,986,32,1002,334,19
3989,101,0,N,359,1237,18,358,920,38,961,362,12
67271,222,0,N,306,1101,13,324,956,32,1003,307,14
14355,108,0,N,356,1119,30,344,971,39,1024,353,24
83228,234,0,N,248,1309,43,249,941,38,993,249,19
17943,111,1,N,300,1101,18,299,944,15,1014,297,8
26259,116,0,N,276,1480,23,267,773,31,823,273,9
25394,115,0,N,351,1350,23,348,863,37,896,348,20
11292,105,0,N,236,1276,19,236,956,38,1027,234,23
38493,123,0,N,466,1212,28,470,841,43,886,469,20
81347,234,0,N,228,1322,44,229,971,38,1031,229,18
40129,200,0,N,240,1254,22,206,997,22,1019,245,12
6675,103,0,N,310,1358,18,310,923,47,965,313,18
67727,222,1,N,341,1261,15,271,1014,15,1021,307,7
27924,116,0,N,268,881,22,275,595,26,647,267,7
72758,228,1,V,189,1039,18,178,991,36,1055,203,8
35573,122,0,N,244,1179,25,243,809,42,889,244,18
15772,109,1,N,236,1264,26,236,964,18,1021,231,11
1397,100,0,N,275,1214,18,275,909,44,970,273,21
52867,210,0,N,202,1250,37,210,978,49,995,211,26
51959,209,0,N,114,1239,17,206,962,30,981,146,15
34171,121,0,N,353,1069,41,357,866,25,883,350,20
74168,230,0,N,128,1242,23,97,923,36,965,173,15
68700,223,0,N,261,1329,50,264,913,30,951,263,15
82764,234,0,N,252,1378,44,252,993,37,1051,254,18
52616,210,0,N,330,1165,20,319,961,42,978,309,22
51543,209,0,N,248,1245,17,249,985,22,1013,250,8
54155,212,1,N,203,1221,45,203,947,34,1014,201,15
11041,105,0,N,224,1256,22,226,950,34,1023,225,20
46137,205,0,N,254,1196,18,253,950,38,978,252,18
78196,232,1,S,270,1148,20,262,980,19,987,263,12
25006,115,0,N,317,1352,24,312,910,21,949,315,21
56461,213,0,N,189,1434,19,202,903,26,977,187,13
47630,208,1,F,201,1291,42,194,978,36,1029,201,15
5547,102,1,Q,302,1139,33,324,960,19,965,342,5
4020,101,0,N,382,1281,18,382,957,39,1010,384,12
62385,215,0,N,199,1182,26,182,963,33,992,193,11
27794,116,0,N,259,1404,19,254,776,28,844,260,8
65945,221,1,V,168,1237,77,230,956,60,999,166,24
39166,124,1,N,432,1240,17,450,867,31,889,417,23
5843,103,0,N,330,1376,19,331,922,50,984,332,20
56100,213,0,N,195,1467,21,209,919,29,1003,191,15
65739,220,0,N,319,1338,34,316,900,36,936,316,19
39084,123,0,N,448,1291,68,444,847,47,891,445,19
59212,214,1,N,263,1409,53,264,979,44,1000,268,22
7619,103,0,N,333,1344,19,332,908,29,963,324,19
59639,214,1,N,292,1454,32,291,995,29,1018,290,9
79904,233,1,V,164,1341,28,102,893,13,984,170,9
55602,212,0,N,272,1334,51,273,983,35,1050,269,19
80944,234,0,N,238,1286,19,239,938,40,997,240,18
81402,234,0,N,235,1269,46,236,956,37,1016,234,18
77911,232,1,S,248,1160,21,241,971,17,986,294,9
41373,201,0,N,568,1179,26,603,980,45,1010,591,19
73180,230,0,N,349,1387,29,348,982,39,1019,354,20
44091,203,0,N,239,1322,32,214,1005,13,1007,270,8
74166,230,0,N,327,1321,15,325,952,38,990,324,18
1911,100,0,N,291,1183,21,291,891,24,963,288,17
57267,213,0,N,198,1464,21,207,930,28,1016,196,15
51462,209,1,S,155,1296,16,122,952,75,1034,129,38
53819,212,1,N,210,1239,31,201,971,25,1057,211,14
31891,119,0,N,213,1307,18,225,855,32,935,198,18
62926,215,0,N,183,1169,15,190,958,33,989,186,14
421,100,0,N,290,1192,18,291,933,25,999,282,20
72594,228,0,N,298,1223,22,294,1020,36,1039,299,24
33301,119,1,V,190,1448,28,157,885,66,995,161,41
48514,208,0,N,245,1315,18,241,951,36,994,239,18
63563,217,1,Q,304,1107,45,317,968,29,983,325,8
40867,200,0,N,287,1164,22,328,965,35,980,285,23
8466,104,1,Q,292,1037,24,306,958,20,964,315,3
3282,101,0,N,309,1349,17,309,958,32,999,311,10
10232,105,0,N,262,1251,20,262,947,34,1003,263,20
31259,118,1,N,305,1058,20,300,854,22,910,306,15
11934,106,0,N,312,1424,37,314,955,27,1021,312,13
3302,101,0,N,348,1268,18,348,927,44,970,350,21
11628,105,0,N,258,1260,24,255,944,36,1004,256,21
71331,228,0,N,319,1136,25,317,990,42,1012,317,9
50942,209,1,S,186,1185,17,188,910,52,975,180,6
79348,233,0,N,219,1400,21,216,979,43,1051,223,24
44695,205,0,N,240,1189,20,241,947,41,968,243,19
68299,222,0,N,131,1139,32,137,966,57,984,154,40
7956,104,0,N,291,1255,33,302,988,34,1003,290,21
6370,103,0,N,298,1392,18,298,920,48,977,301,19
58150,213,0,N,208,1445,19,189,917,28,1002,207,14
17782,111,1,N,313,1149,15,312,1011,49,1002,316,23
26097,115,0,N,389,1329,17,384,865,40,903,393,22
31544,118,1,N,313,1227,19,306,879,27,974,296,20
74323,230,0,N,253,1200,58,254,848,42,906,258,19
14304,108,0,N,363,1200,29,373,1001,38,1062,369,23
44219,203,0,N,217,1363,24,237,983,13,1016,203,6
53251,212,0,N,251,1324,48,252,943,34,1005,251,19
67423,222,0,N,259,1147,14,230,975,27,1001,300,15
19324,111,1,N,294,1078,16,294,962,45,970,293,21
30202,118,1,N,276,1064,25,284,846,27,908,281,20
10501,105,0,N,272,1247,21,272,959,36,1009,275,21
22938,114,0,N,337,1003,8,335,1010,29,996,341,20
83001,234,0,N,242,1347,45,240,964,31,1013,241,13
22931,114,0,N,341,963,9,377,962,23,1001,337,14
59782,214,1,N,261,1377,37,261,984,28,999,260,8
61717,215,0,N,194,1161,15,207,966,30,1004,193,19
17988,111,1,N,287,1075,15,287,977,15,952,282,13
51235,209,0,N,228,1223,17,229,962,20,989,219,12
70586,223,0,N,249,1338,27,248,906,34,942,246,15
65721,220,0,N,315,1324,26,314,891,34,923,313,16
8068,104,1,Q,316,1002,15,268,985,21,1035,291,11
52032,209,0,N,211,1266,17,224,997,22,1059,217,15
13896,107,1,Q,311,1296,22,289,861,13,859,320,6
76392,231,1,N,348,1315,17,347,963,36,1022,351,19
56764,213,0,N,199,1453,18,196,935,30,1014,195,16
29554,118,1,N,298,1147,33,308,890,30,933,294,22
43609,203,0,N,208,1254,35,193,960,13,988,186,3
53923,212,1,N,235,1306,47,236,972,33,1057,231,17
57616,213,0,N,200,1519,24,199,950,31,1028,198,17
68375,222,0,N,159,1127,35,191,909,41,1012,124,16
73080,230,0,N,235,1279,20,224,939,41,993,235,19
77253,232,1,S,242,1091,23,239,993,15,1000,262,6
76515,231,1,N,335,1272,17,381,917,36,989,399,16
75525,231,1,N,337,1303,18,372,937,37,1012,399,18
43112,203,0,N,128,1195,18,122,901,60,921,147,41
46839,205,0,N,267,1191,18,268,945,35,972,272,15
22123,112,0,N,257,1040,19,253,884,43,919,259,18
24760,115,0,N,325,1321,25,325,851,37,887,327,20
14893,108,0,N,323,871,12,350,955,40,1038,324,23
13427,106,1,V,192,1328,81,214,997,65,1200,213,32
76971,231,1,N,331,1280,17,331,919,37,986,334,19
34451,121,0,N,371,1036,21,373,854,49,869,374,30
76346,231,1,N,333,1320,17,333,938,38,1003,333,20
51615,209,0,N,217,1245,18,217,970,44,998,215,18
27540,116,0,N,369,1395,36,407,827,42,874,419,23
52153,209,1,S,150,1323,16,137,1003,24,1052,150,8
51236,209,1,S,203,1208,17,218,943,32,992,210,22
31517,118,1,N,259,1170,20,260,856,26,926,257,11
29308,118,1,N,281,1136,31,280,889,26,952,277,20
34722,121,0,N,376,1024,30,372,854,25,870,371,18
55652,212,0,N,247,1296,49,247,926,34,987,246,19
61908,215,0,N,205,1204,15,211,991,33,1027,206,10
43218,203,0,N,214,1065,16,242,889,39,904,195,27
12057,106,0,N,387,1469,18,387,929,34,1020,384,15
77344,232,1,S,253,1076,26,239,1012,26,1019,247,14
69797,223,0,N,248,1288,26,247,893,43,927,249,27
45897,205,0,N,240,1182,25,241,943,25,969,241,6
31768,119,0,N,323,1278,18,323,835,34,915,324,18
15573,109,1,N,272,1289,29,259,948,40,1000,263,9
82197,234,0,N,236,1309,45,235,942,29,996,235,12
57482,213,0,N,202,1477,20,202,961,30,1050,200,16
25054,115,0,N,309,1291,18,304,821,50,861,313,18
31620,119,1,V,193,1411,32,165,816,63,939,165,39
16494,109,1,N,258,1291,26,259,959,20,1003,258,3
33417,119,0,N,353,1273,20,348,798,33,883,352,17
67512,222,0,N,208,1095,13,204,988,16,1002,182,5
21637,112,0,N,259,1047,16,261,890,43,929,260,23
31220,118,1,N,306,1120,22,286,849,27,917,302,20
69718,223,1,V,172,1077,24,109,846,47,924,178,42
43666,203,0,N,221,1153,20,220,973,18,1015,242,7
34556,121,0,N,367,1014,41,370,849,21,869,373,6
83180,234,0,N,235,1366,41,233,980,30,1028,237,14
59441,214,1,N,266,1438,31,274,975,40,990,274,25
55028,212,1,N,237,1301,46,238,978,33,1048,236,18
67647,222,1,S,158,1251,22,137,1005,40,1071,126,18
33578,121,0,N,347,1045,41,346,852,22,868,349,7
59801,214,1,N,263,1370,38,268,973,44,992,271,20
17784,111,1,N,303,1137,15,304,1009,45,980,304,22
73205,230,0,N,344,1367,25,345,963,40,1000,345,19
24902,115,0,N,314,1351,30,311,901,46,949,314,18
79796,233,0,N,203,1263,20,202,910,40,968,202,20
51942,209,0,N,224,1242,17,225,977,32,1013,223,14
50360,209,1,S,138,1256,19,125,958,49,1006,134,30
47834,208,0,N,199,1333,16,202,966,26,1040,197,10
29206,117,0,N,424,885,56,430,819,43,867,428,22
56948,213,1,F,195,1434,28,210,875,26,964,196,12
56229,213,0,N,203,1432,20,187,884,29,962,207,15
4187,102,1,Q,297,1145,22,255,944,19,944,371,14
72479,228,0,N,309,1183,24,309,941,32,1029,311,14
28590,117,0,N,432,858,5,431,876,40,914,432,20
38904,123,0,N,461,1255,31,455,826,44,888,461,22
67526,222,0,N,224,1129,15,260,986,35,1002,273,13
56345,213,0,N,141,1395,18,79,531,62,850,144,48
49955,209,0,N,206,1219,16,206,959,42,993,197,11
9660,105,0,N,273,1281,20,274,961,37,1019,272,21
13531,106,0,N,511,1226,39,526,987,32,1027,550,16
27680,116,0,N,268,1472,19,268,816,45,870,268,26
63034,215,0,N,207,1207,20,190,969,28,996,208,18
81170,234,0,N,237,1350,18,231,1010,35,1053,242,16
27802,116,0,N,262,1326,20,258,782,46,832,263,27
14509,108,0,N,345,1178,37,320,964,40,1022,339,25
52257,209,0,N,234,1288,15,224,960,32,986,238,14
62936,215,0,N,187,1170,17,187,951,37,980,190,16
45228,205,0,N,226,1167,18,225,930,42,961,227,19
11733,106,0,N,355,1244,40,354,940,32,989,353,16
64449,220,0,N,312,1331,34,313,867,32,901,316,15
8899,104,1,Q,285,1149,22,273,970,20,971,309,6
69959,223,0,N,252,1279,25,250,908,43,945,245,23
26982,116,0,N,376,1463,19,408,774,40,833,425,21
57447,213,1,V,201,1590,48,203,941,34,1066,200,16
20613,112,0,N,244,1042,21,241,865,45,914,245,23
75955,231,1,N,341,1296,18,341,943,37,1009,342,20
79506,233,0,N,211,1348,42,206,948,44,1016,212,21
1708,100,0,N,283,1200,17,284,908,40,977,288,19
64863,220,0,N,326,1330,37,324,887,36,915,325,18
59745,214,1,N,246,1341,24,255,951,23,1005,247,14
67509,222,0,N,198,1050,13,259,961,27,983,191,16
68990,223,0,N,265,1318,26,268,932,48,969,268,29
18588,111,1,N,327,1131,12,331,945,37,985,333,21
50252,209,1,S,132,1267,21,131,971,41,1023,133,24
14791,108,0,N,334,1108,26,347,991,37,1047,335,22
3170,101,0,N,348,1319,19,348,969,34,1019,352,10
63431,217,1,Q,291,1221,30,269,1021,20,1026,270,7
16516,109,1,N,280,1324,30,285,959,24,974,339,15
245,100,0,N,299,1199,18,300,922,24,983,302,17
36935,122,0,N,260,1208,25,260,801,40,888,258,16
24328,115,0,N,369,1290,58,372,856,37,884,370,15
46484,205,0,N,273,1172,17,274,926,28,954,276,20
30936,118,1,N,308,1067,20,299,855,25,919,303,19
60403,215,0,N,188,1124,18,204,967,29,1004,183,11
28433,116,0,N,257,1078,21,256,832,41,890,256,20
49899,209,1,S,160,1229,17,160,962,54,1022,122,34
32762,119,0,N,330,1233,18,332,811,34,891,329,18
